name,categories,address,phone,rating,url
Indigo Riverview,Apartments,"99 N Main St,
Memphis, TN 38103",,BBB Rating: D+,https://www.bbb.org/us/tn/memphis/profile/apartments/indigo-riverview-0543-44182146
99 Front Street,"Property Management, Apartments, Real Estate Consultant","99 S Front St,
Memphis, TN 38103",(901) 767-6500,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/fogelman-properties-inc-0543-1144
The Renaissance Apartments,Apartments,"99 N Main St,
Memphis, TN 38103",(901) 527-8057,BBB Rating: B-,https://www.bbb.org/us/tn/memphis/profile/apartments/the-renaissance-apartments-0543-44026893
2nd Street Flats,Apartments,"275 South Second Street,
Memphis, TN 38103",(901) 774-8000,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/2nd-street-flats-0543-44141711
"Fogelman Properties, Inc.","Property Management, Apartments, Real Estate Consultant","495 Tennessee Street,
Memphis, TN 38103",(833) 706-9514,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/fogelman-properties-inc-0543-1144
"Fogelman Properties, Inc.","Property Management, Apartments, Real Estate Consultant","671 Harbor Town Edge Dr,
Memphis, TN 38103",(833) 831-3097,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/fogelman-properties-inc-0543-1144
Envolve Communities,"Property Management, Apartments","Metro 67 67 Madison Avenue,
Memphis, TN 38103",(901) 435-7700,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/envolve-communities-0543-11834
Envolve Communities,"Property Management, Apartments","Adler Apartments 267 S. Main,
Memphis, TN 38103",(901) 523-0555,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/envolve-communities-0543-11834
Envolve Communities,"Property Management, Apartments","Gayoso House 130 S. Front Street,
Memphis, TN 38103",(901) 435-7700,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/envolve-communities-0543-11834
Madison Tower Apartments,Apartments,"383 Madison Ave,
Memphis, TN 38103",(901) 521-0003,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/madison-tower-apartments-0543-44059523
Grand Island Apartments,Apartments,"300 Grand Island Drive,
Memphis, TN 38103",(901) 522-1212,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/grand-island-apartments-0543-44078667
Envolve Communities,"Property Management, Apartments","Chisca on Main 272 S Main St,
Memphis, TN 38103-1608",(901) 435-7700,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/envolve-communities-0543-11834
Number 10 Main Apartments,Apartments,"10 S Main St,
Memphis, TN 38103-2454",,BBB Rating: A-,https://www.bbb.org/us/tn/memphis/profile/apartments/number-10-main-apartments-0543-44169908
"ALCO Management, Inc.","Property Management, Apartments","35 Union Ave Ste 300,
Memphis, TN 38103-2417",(901) 544-1705,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/alco-management-inc-0543-24000191
Belle Harbour Apartments,Apartments,"1298 Mount Hope Dr,
Memphis, TN 38103-1002",(901) 543-8335,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/belle-harbour-apartments-0543-44041183
The Grove on Island Drive,Apartments,"1298 Mount Hope Dr,
Memphis, TN 38103-1002",(901) 543-8330,BBB Rating: NR,https://www.bbb.org/us/tn/memphis/profile/apartments/the-grove-on-island-drive-0543-44021678
Grand Island Apartments,Apartments,"444 Island Dr,
Memphis, TN 38103-2525",(901) 522-1212,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/grand-island-apartments-0543-44078667
Grand Island Apartments,Apartments,"300 Island Dr,
Memphis, TN 38103-2525",(901) 522-1212,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/grand-island-apartments-0543-44078667
Riverset Apartments,Apartments,"100 Riverset Ln,
Memphis, TN 38103-0902",(901) 236-0449,BBB Rating: C,https://www.bbb.org/us/tn/memphis/profile/apartments/riverset-apartments-0543-44075600
"H.M. Heckle & Company, Inc.","Property Management, Apartments, Real Estate Rentals","560 Jefferson Place (Jefferson Place Apartments),
Memphis, TN 38105",(901) 761-0655,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/hm-heckle-company-inc-0543-6815
"ALCO Management, Inc.","Property Management, Apartments","252 N Lauderdale St (Uptown Square),
Memphis, TN 38105-3620",(901) 523-9402,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/alco-management-inc-0543-24000191
Envolve Communities,"Property Management, Apartments","838 Walker Ave,
Memphis, TN 38126-5915",(901) 435-7700,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/envolve-communities-0543-11834
Envolve Communities,"Property Management, Apartments","College Park Family II,
Memphis, TN 38126",(901) 435-7700,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/envolve-communities-0543-11834
"ALCO Management, Inc.","Property Management, Apartments","460 S Lauderdale St (Cleaborn Pointe @ Heritage Landing Senior),
Memphis, TN 38126-1500",(901) 572-2303,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/alco-management-inc-0543-24000191
Wesley Housing Corporation of Memphis,"Adult Family Homes, Apartments, Nursing Home","855 S Fourth St,
Memphis, TN 38126",(901) 744-0151,BBB Rating: A+,https://www.bbb.org/us/tn/cordova/profile/adult-family-homes/wesley-housing-corporation-of-memphis-0543-11002318
Mason Homes on 4th St,Apartments,"900 4th St,
Memphis, TN 38126",(901) 748-5524,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/mason-homes-on-4th-st-0543-44136197
Uptown Flats,Apartments,"645 N Main St,
Memphis, TN 38107-3631",(901) 245-6151,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/uptown-flats-0543-44141721
Envolve Communities,"Property Management, Apartments","Riverbend Place Apts 648 North Main #101,
Memphis, TN 38107",(901) 577-1447,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/envolve-communities-0543-11834
"ALCO Management, Inc.","Property Management, Apartments","374 Mill Ave (The Metropolitan-Greenlawn Apts),
Memphis, TN 38107-1420",(901) 544-1705,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/alco-management-inc-0543-24000191
"ALCO Management, Inc.","Property Management, Apartments","994 N Watkins St (Saints Court Apartments),
Memphis, TN 38107-2933",(901) 274-8333,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/alco-management-inc-0543-24000191
Crockett Place Apartments,Apartments,"884 Crockett St,
Memphis, TN 38107-4212",,BBB Rating: A,https://www.bbb.org/us/tn/memphis/profile/apartments/crockett-place-apartments-0543-44169120
Chicago Park Place Apartment,Apartments,"1415 Breedlove St,
Memphis, TN 38107-1209",(901) 544-1902,BBB Rating: NR,https://www.bbb.org/us/tn/memphis/profile/apartments/chicago-park-place-apartment-0543-44141621
University Gardens Manor,Apartments,"2059 N Cabana Cir,
Memphis, TN 38107-3202",(901) 276-4439,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/university-gardens-manor-0543-44083362
Longview Heights Apartments,Apartments,"1953 Philsar St,
Memphis, TN 38106-7117",(901) 922-5275,BBB Rating: A,https://www.bbb.org/us/tn/memphis/profile/apartments/longview-heights-apartments-0543-44169303
2nd Street Flats,Apartments,"362 South Second St,
Memphis, TN 38106",(901) 245-6152,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/2nd-street-flats-0543-44141711
Longview Garden Apartments,Apartments,"1726 S Orleans St,
Memphis, TN 38106-6402",(901) 244-6939,BBB Rating: F,https://www.bbb.org/us/tn/memphis/profile/apartments/longview-garden-apartments-0543-44141434
Latham Heights Apartments,Apartments,"340 S Parkway E Apt 13,
Memphis, TN 38106-5300",(901) 596-7409,BBB Rating: NR,https://www.bbb.org/us/tn/memphis/profile/apartments/latham-heights-apartments-0543-44044727
Crescent Bluff I Apartments,Apartments,"46 Crescent Bluff Ct,
Memphis, TN 38106-4524",(901) 774-8000,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/crescent-bluff-i-apartments-0543-44141713
Crescent Bluff I Apartments,Apartments,"25 E Virginia Ave,
Memphis, TN 38106-1757",(901) 774-8000,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/crescent-bluff-i-apartments-0543-44141713
Crescent Bluff II Apartments,Apartments,"10 East Virginia Avenue,
Memphis, TN 38106",(901) 435-6358,BBB Rating: A,https://www.bbb.org/us/tn/memphis/profile/apartments/crescent-bluff-ii-apartments-0543-44141714
Cane Creek Apartments,Apartments,"1528 Ragan St,
Memphis, TN 38106-6103",(901) 774-8882,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/cane-creek-apartments-0543-44141712
Patterson Flats Apartments,Apartments,"270 E. G.E. Patterson,
Memphis, TN 38106",(901) 306-2195,BBB Rating: A,https://www.bbb.org/us/tn/memphis/profile/apartments/patterson-flats-apartments-0543-44141719
City View Towers,Apartments,"256 S Camilla St,
Memphis, TN 38104-3335",(901) 410-1035,BBB Rating: B-,https://www.bbb.org/us/tn/memphis/profile/apartments/city-view-towers-0543-44082610
"Fogelman Properties, Inc.","Property Management, Apartments, Real Estate Consultant","205 Pasadena Pl (Bristol on Union),
Memphis, TN 38104-6628",(833) 648-9602,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/fogelman-properties-inc-0543-1144
Eleven 60,Apartments,"125 N Bellevue Blvd,
Memphis, TN 38104",(901) 453-7074,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/eleven-60-0543-44081816
Eleven 60,Apartments,"1160 Jefferson Ave Apt 17,
Memphis, TN 38104-7219",(901) 233-7443,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/eleven-60-0543-44081816
Pauline Place Apartments,"Property Management, Apartments","23 S Pauline St,
Memphis, TN 38104-3111",(901) 523-8222,BBB Rating: C+,https://www.bbb.org/us/tn/memphis/profile/property-management/pauline-place-apartments-0543-44002189
"Broadmoor Property Management, LLC","Property Management, Apartments","306 S Cleveland St STE 1,
Memphis, TN 38104-3582",(901) 276-3607,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/broadmoor-property-management-llc-0543-44010778
The Venue Apartments,Apartments,"1387 Central Avenue,
Memphis, TN 38104",(901) 276-3100,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/the-venue-apartments-0543-44043474
University Place Apartments,Apartments,"1045 E Eh Crump Blvd,
Memphis, TN 38104-6211",,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/university-place-apartments-0543-44066741
The Pinnacle Apartment,Apartments,"305 Bellevue,
Memphis, TN 38104",(901) 726-1575,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/the-pinnacle-apartment-0543-44036624
Park Towers Apartments,Apartments,"57 N. Somerville Street,
Memphis, TN 38104",(901) 523-0068,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/park-towers-apartments-0543-44007865
Maureen Manor,Apartments,"3073 Nathan,
Memphis, TN 38112",(901) 323-8181,BBB Rating: B-,https://www.bbb.org/us/tn/memphis/profile/apartments/maureen-manor-0543-44023070
"H.M. Heckle & Company, Inc.","Property Management, Apartments, Real Estate Rentals","2451 Union Ave (Georgian Woods),
Memphis, TN 38112",(901) 761-0655,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/hm-heckle-company-inc-0543-6815
"H.M. Heckle & Company, Inc.","Property Management, Apartments, Real Estate Rentals","2451 Union Avenue (Georgian Woods Apartments),
Memphis, TN 38112",(901) 761-0655,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/hm-heckle-company-inc-0543-6815
"H.M. Heckle & Company, Inc.","Property Management, Apartments, Real Estate Rentals","1960 N Parkway (Parkway House( Condos),
Memphis, TN 38112",(901) 761-0655,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/hm-heckle-company-inc-0543-6815
Galloway Gardens,Apartments,"1571 Galloway Ave,
Memphis, TN 38112-4990",(901) 272-0404,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/galloway-gardens-0543-44150081
"ALCO Management, Inc.","Property Management, Apartments","203 E Red Oak Dr (Chickasaw Place Apartments),
Memphis, TN 38112-4616",(901) 454-1718,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/alco-management-inc-0543-24000191
"ALCO Management, Inc.","Property Management, Apartments","281 Johnson Cir W (Eastern Heights),
Memphis, TN 38112-4215",(901) 458-3283,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/alco-management-inc-0543-24000191
"Naylo Enterprises, Inc.",Apartments,"280 Buena Vista Pl Apt 2,
Memphis, TN 38112-5412",(901) 272-2135,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/naylo-enterprises-inc-0543-44043210
Love Tunica Apartments,Apartments,"1188 tunica st,
Memphis, TN 38108",(901) 779-8137,BBB Rating: A-,https://www.bbb.org/us/tn/memphis/profile/apartments/love-tunica-apartments-0543-44157215
Howell Garden Apartments,Apartments,"2240 Howell Ave,
Memphis, TN 38108-3148",(901) 866-9598,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/howell-garden-apartments-0543-44072841
Goodwill Village Apartments,Apartments,"2510 Peres Ave Ste 3,
Memphis, TN 38108-4617",(901) 458-3803,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/goodwill-village-apartments-0543-44058316
Festival Square Apartments,Apartments,"3867 Pikes Peak Ave,
Memphis, TN 38108-2155",(901) 377-5900,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/festival-square-apartments-0543-44073778
"ALCO Management, Inc.","Property Management, Apartments","2570 Woodcliff Dr,
Memphis, TN 38127-1200",(901) 544-1705,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/alco-management-inc-0543-24000191
Cooper-Young Apartments,Apartments,"1103 S Cooper St,
Memphis, TN 38114-6746",(901) 579-9210,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/cooper-young-apartments-0543-44138784
EL Dorado Apartments,Apartments,"2743 Ketchum Rd,
Memphis, TN 38114-7311",(901) 435-6302,BBB Rating: F,https://www.bbb.org/us/tn/memphis/profile/apartments/el-dorado-apartments-0543-44080374
Frisco Court Apartments,Apartments,"975 FRISCO AVE #4,
Memphis, TN 38114",(901) 577-3000,BBB Rating: NR,https://www.bbb.org/us/tn/memphis/profile/apartments/frisco-court-apartments-0543-44062726
Frisco Court Apartments,Apartments,"1875 Keltner Cir,
Memphis, TN 38114-4609",(901) 577-3000,BBB Rating: NR,https://www.bbb.org/us/tn/memphis/profile/apartments/frisco-court-apartments-0543-44062726
Barron Court Apartments,Apartments,"1175 Barron Ct,
Memphis, TN 38114-4043",(901) 590-2602,BBB Rating: D+,https://www.bbb.org/us/tn/memphis/profile/apartments/barron-court-apartments-0543-44177957
Willow Oaks Apartment,Apartments,"2459 Ketchum Road,
Memphis, TN 38114",(901) 745-8333,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/willow-oaks-apartment-0543-44065695
Pendleton Place Apartments,Apartments,"1780 Pendleton St,
Memphis, TN 38114-3832",(901) 744-3945,BBB Rating: F,https://www.bbb.org/us/tn/memphis/profile/apartments/pendleton-place-apartments-0543-44061666
"My Management, LLC",Apartments,"1875 Keltner Cir,
Memphis, TN 38114-4609",(901) 345-1745,BBB Rating: F,https://www.bbb.org/us/tn/memphis/profile/apartments/my-management-llc-0543-44038454
Crockett Park Place Apartments,Apartments,"2645 Davey Dr,
Memphis, TN 38127-2814",(901) 353-0283,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/crockett-park-place-apartments-0543-44141715
Trezevant Apartments,Apartments,"3431 Trezevant,
Memphis, TN 38127",(901) 337-0300,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/trezevant-apartments-0543-44153738
"ALCO Management, Inc.","Property Management, Apartments","2801 Raja Rd (Breezy Point Apartments),
Memphis, TN 38127-7919",(901) 358-1328,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/alco-management-inc-0543-24000191
"ALCO Management, Inc.","Property Management, Apartments","3131 Madewell St (Greenbriar Apartments),
Memphis, TN 38127-6217",(901) 358-3026,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/alco-management-inc-0543-24000191
"ALCO Management, Inc.","Property Management, Apartments","3707 Pershing Park Dr (Pershing Park Apartments),
Memphis, TN 38127-5430",(901) 357-7731,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/alco-management-inc-0543-24000191
"ALCO Management, Inc.","Property Management, Apartments","2818 Green Terrace Dr (Rolling Hills Apartments),
Memphis, TN 38127-8118",(901) 357-6824,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/alco-management-inc-0543-24000191
"ALCO Management, Inc.","Property Management, Apartments","1541 Northside Dr (Todd Creek Apartments),
Memphis, TN 38127-3810",(901) 353-4368,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/alco-management-inc-0543-24000191
Whitney Manor Apartments,Apartments,"3081 Saint Charles Dr Apt 3,
Memphis, TN 38127-7230",(901) 358-2128,BBB Rating: B-,https://www.bbb.org/us/tn/memphis/profile/apartments/whitney-manor-apartments-0543-44053260
"WI Memphis, LLC","Apartments, Property Management","1749 Gowan Dr,
Memphis, TN 38127-5509",(901) 614-4805,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/wi-memphis-llc-0543-44058998
"WI Memphis, LLC","Apartments, Property Management","1505 Rainey Drive,
Memphis, TN 38127",(901) 743-4982,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/wi-memphis-llc-0543-44058998
Casa Bonita Apartments,Apartments,"4236 Overton Crossing St,
Memphis, TN 38127-3416",(901) 201-4858,BBB Rating: B-,https://www.bbb.org/us/tn/memphis/profile/apartments/casa-bonita-apartments-0543-44123282
Beacon Manor Apartments,Apartments,"3923 Barbourville Dr,
Memphis, TN 38127-4169",(901) 353-7002,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/beacon-manor-apartments-0543-44049436
Range Line Place,Apartments,"3403 Range Line Rd,
Memphis, TN 38127-6848",(901) 358-8865,BBB Rating: NR,https://www.bbb.org/us/tn/memphis/profile/apartments/range-line-place-0543-44083914
Ridgecrest Apartments,Apartments,"2570 Woodcliff Dr,
Memphis, TN 38127-1200",(901) 353-4691,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/ridgecrest-apartments-0543-44067138
Annie's Townhomes,Apartments,"2603 Projest Dr.,
Memphis, TN 38127",(901) 357-1758,BBB Rating: F,https://www.bbb.org/us/tn/memphis/profile/apartments/annies-townhomes-0543-44081435
Westside Manor Apartments,Apartments,"931 frayser Blvd,
MEMPHIS, TN 38127",,BBB Rating: B+,https://www.bbb.org/us/tn/memphis/profile/apartments/westside-manor-apartments-0543-44181890
Renaissance of Steel Apartments,Apartments,"3085 Steal Street,
Memphis, TN 38127",(901) 244-2601,BBB Rating: D+,https://www.bbb.org/us/tn/memphis/profile/apartments/renaissance-of-steel-apartments-0543-44179726
Ascension Towers,Apartments,"3910 Stuart Rd,
Memphis, TN 38111",(901) 454-1108,BBB Rating: NR,https://www.bbb.org/us/tn/memphis/profile/apartments/ascension-towers-0543-44033119
