name,categories,address,phone,rating,url
Envolve Communities,"Property Management, Apartments","555 Perkins Ext Ste 200,
Memphis, TN 38117-4410",(901) 435-7700,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/envolve-communities-0543-11834
Stone Ridge Apartments,Apartments,"5555 Perkins Extd, Ste 200,
Memphis, TN 38117",(423) 822-0660,BBB Rating: A+,https://www.bbb.org/us/tn/chattanooga/profile/apartments/stone-ridge-apartments-0483-40033166
Brunswick Gardens Apartment,Apartments,"540 N Mendenhall Rd,
Memphis, TN 38117",(901) 602-2622,BBB Rating: NR,https://www.bbb.org/us/tn/memphis/profile/apartments/brunswick-gardens-apartment-0543-44110909
"WI Memphis, LLC","Apartments, Property Management","PO Box 770627,
Memphis, TN 38177-0627",(901) 743-4982,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/wi-memphis-llc-0543-44058998
Campus Heights,Apartments,"PO Box 770827,
Memphis, TN 38177",(901) 325-4088,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/campus-heights-0543-44072475
Madison Apartment Group,Apartments,"5050 Poplar Ave Ste 1107,
Memphis, TN 38157-1107",(215) 606-0600,BBB Rating: D-,https://www.bbb.org/us/pa/philadelphia/profile/apartments/madison-apartment-group-0241-180015313
The Vue at Claudette,Apartments,"2718 Claudette Road,
Memphis, TN 38118",(901) 563-1336,BBB Rating: F,https://www.bbb.org/us/tn/memphis/profile/apartments/the-vue-at-claudette-0543-44181935
Envolve Communities,"Property Management, Apartments","Lamar Crossing Apartments 2010 Meadowlarke Run,
Memphis, TN 38118",(901) 744-3510,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/envolve-communities-0543-11834
Envolve Communities,"Property Management, Apartments","Camelot Manor 3151 Ashwood St,
Memphis, TN 38118-3945",(901) 435-7700,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/envolve-communities-0543-11834
Woodlake Apartments,Apartments,"3314 S Woodlake Cir,
Memphis, TN 38118",(901) 362-2960,BBB Rating: NR,https://www.bbb.org/us/tn/memphis/profile/apartments/woodlake-apartments-0543-44178574
Windsor Place Apartments,Apartments,"5267 Knight Arnold Rd,
Memphis, TN 38118-3540",(901) 362-2300,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/windsor-place-apartments-0543-44023487
Dogwood Trace Apartments,Apartments,"4635 Forest Oak Way,
Memphis, TN 38118-5219",(901) 362-0475,BBB Rating: NR,https://www.bbb.org/us/tn/memphis/profile/apartments/dogwood-trace-apartments-0543-44113132
"WI Memphis, LLC","Apartments, Property Management","5294 Cottonwood Rd Ste 2,
Memphis, TN 38118-2629",(901) 743-4982,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/wi-memphis-llc-0543-44058998
"WI Memphis, LLC","Apartments, Property Management","2973 Getwell Rd., Apt.3,
Memphis, TN 38118-2233",(901) 201-5958,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/wi-memphis-llc-0543-44058998
"WI Memphis, LLC","Apartments, Property Management","2715 Cherry Rd,
Memphis, TN 38118-0204",(901) 290-7716,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/wi-memphis-llc-0543-44058998
"WI Memphis, LLC","Apartments, Property Management","4544 Willow Creek Dr,
Memphis, TN 38118-5146",(901) 410-1139,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/wi-memphis-llc-0543-44058998
Saddle Vineyard,Apartments,"3716 Winchester Rd,
Memphis, TN 38118-5900",(901) 375-4352,BBB Rating: NR,https://www.bbb.org/us/tn/memphis/profile/apartments/saddle-vineyard-0543-44044150
Eden Pointe Apartments,Apartments,"3187 E Danville Cir,
Memphis, TN 38118-4182",(602) 885-0602,BBB Rating: F,https://www.bbb.org/us/tn/memphis/profile/apartments/eden-pointe-apartments-0543-44045926
Eastwood Park Apartments,Apartments,"2973 Getwell Rd STE 3,
Memphis, TN 38118-2233",(901) 363-5807,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/eastwood-park-apartments-0543-44072532
Cottonwood Apartments,Apartments,"4653 Cotton Dr,
Memphis, TN 38118",(901) 360-8400,BBB Rating: F,https://www.bbb.org/us/tn/memphis/profile/apartments/cottonwood-apartments-0543-44170072
"My Management, LLC",Apartments,"4653 Cotton Dr,
Memphis, TN 38118-2308",(901) 345-1745,BBB Rating: F,https://www.bbb.org/us/tn/memphis/profile/apartments/my-management-llc-0543-44038454
Villas at Willow Creek,Apartments,"3536 Emily Elizabeth Dr,
Memphis, TN 38118",(901) 590-0104,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/villas-at-willow-creek-0543-44016355
Villas at Willow Creek,Apartments,"4500 Water Tree Dr,
Memphis, TN 38118-5133",(901) 590-0104,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/villas-at-willow-creek-0543-44016355
Corner Park Apartments,Apartments,"4150 Winchester Rd,
Memphis, TN 38118-5048",(901) 623-3045,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/corner-park-apartments-0543-44075778
Flairwood Apartments,Apartments,"4361 tchulahoma road,
memphis, TN 38118",(901) 748-5591,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/flairwood-apartments-0543-44079063
Pine Brook Point,Apartments,"3541 Mediterranean Drive,
Memphis, TN 38118",(901) 365-7160,BBB Rating: F,https://www.bbb.org/us/tn/memphis/profile/apartments/pine-brook-point-0543-44078683
River City Heights Townhomes,Apartments,"3716 Winchester Rd,
Memphis, TN 38118",(901) 365-0985,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/river-city-heights-townhomes-0543-44141335
Kensington Manor Apartments,"Apartments, Property Management, Construction Management ...","3896 Chippewa Rd,
Memphis, TN 38118",(305) 867-2245,BBB Rating: A,https://www.bbb.org/us/tn/memphis/profile/apartments/kensington-manor-apartments-0543-44009525?addressId=13813
"H.M. Heckle & Company, Inc.","Property Management, Apartments, Real Estate Rentals","2174 Westchester Dr (Sycamore Lake Apartment),
Memphis, TN 38134",(901) 761-0655,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/hm-heckle-company-inc-0543-6815
Summer Trace Apartments,Apartments,"6015 Summer Trace,
Memphis, TN 38134",(901) 612-2369,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/summer-trace-apartments-0543-44066689
Tanglewood Apartments,Apartments,"5770 Tangle Oaks Dr,
Mempis, TN 38134",(901) 382-0060,BBB Rating: A-,https://www.bbb.org/us/tn/mempis/profile/apartments/tanglewood-apartments-0543-44156563
The Village of Sycamore Ridge,Apartments,"1945 Everett Folly,
Memphis, TN 38134",(901) 388-8742,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/the-village-of-sycamore-ridge-0543-44067724
Canterbury Wood Apartments,Apartments,"6520 Macon Rd,
Memphis, TN 38134-7528",(901) 388-5369,BBB Rating: A-,https://www.bbb.org/us/tn/memphis/profile/apartments/canterbury-wood-apartments-0543-44140739
Preservation of Affordability,Apartments,"2165 E River Trace Dr,,
Memphis, TN 38134",(901) 377-3865,BBB Rating: A+,https://www.bbb.org/us/tn/cordova/profile/apartments/preservation-of-affordability-0543-44054200
Shelby Grove Apartments,Apartments,"6357 Shelby Briar Dr,
Memphis, TN 38134-3912",(901) 979-9656,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/shelby-grove-apartments-0543-44118712
Grant Investment LLC,Apartments,"1835 Sycamore View Rd,
Bartlett, TN 38134",(901) 683-4422,BBB Rating: NR,https://www.bbb.org/us/tn/memphis/profile/apartments/grant-investment-llc-0543-44015253
The Sunshine Corporation,"Property Management, Apartments","6081 Hwy 70 (The Glen),
Memphis, TN 38134",(901) 382-2994,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/the-sunshine-corporation-0543-6721
The Sunshine Corporation,"Property Management, Apartments","1970 Sycamore Heights Ln (Edgewater),
Memphis, TN 38134",(901) 388-6890,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/the-sunshine-corporation-0543-6721
"Bell Partners, Inc.","Property Management, Apartments","1300 Lynnfield Rd,
Memphis, TN 38119-5740",(336) 232-1900,BBB Rating: NR,https://www.bbb.org/us/nc/greensboro/profile/property-management/bell-partners-inc-0503-4006931
"H.M. Heckle & Company, Inc.","Property Management, Apartments, Real Estate Rentals","Yates & Mason(Condos),
Memphis, TN 38120",(901) 761-0655,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/hm-heckle-company-inc-0543-6815
"Fogelman Properties, Inc.","Property Management, Apartments, Real Estate Consultant","1730 Hunters Trace Dr (The Edge at Germantown),
Memphis, TN 38120",(833) 279-2674,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/fogelman-properties-inc-0543-1144
"Fogelman Properties, Inc.","Property Management, Apartments, Real Estate Consultant","330 N Humphreys Blvd (Madison Shelby Farms),
Memphis, TN 38120",(833) 413-7832,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/fogelman-properties-inc-0543-1144
MAA,"Property Management, Apartments, Real Estate Rentals","6653 N Quail Hollow,
Memphis, TN 38120",(866) 620-1130,BBB Rating: A+,https://www.bbb.org/us/tn/germantown/profile/property-management/maa-0543-31000112
The District,Apartments,"1661 International Place Dr STE 400,
Memphis, TN 38120-1431",(904) 570-4359,BBB Rating: A,https://www.bbb.org/us/tn/memphis/profile/apartments/the-district-0543-44156866
Richard & Milton Grant LLC,Apartments,"1655 International Dr STE 101,
Memphis, TN 38120-1434",(901) 683-4422,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/richard-milton-grant-llc-0543-44015254
"Apartment Management Group, LLC",Apartments,"825 Valleybrook Dr,
Memphis, TN 38120-2767",(901) 761-3333,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/apartment-management-group-llc-0543-44010434
Arbors River Oaks,Apartments,"225 Arbor Commons Cir,
Memphis, TN 38120-2656",(844) 366-6359,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/arbors-river-oaks-0543-44048667
Grant Investment LLC,Apartments,"1655 International Dr Ste 101,
Memphis, TN 38120-1434",(901) 683-4422,BBB Rating: NR,https://www.bbb.org/us/tn/memphis/profile/apartments/grant-investment-llc-0543-44015253
Corvallis OR Student Housing Owner LLC,"Apartments, Property Management, Student Housing","999 Shady Grove Rd S Ste 600,
Memphis, TN 38120-4130",(901) 259-2500,BBB Rating: B-,https://www.bbb.org/us/or/corvallis/profile/apartments/corvallis-or-student-housing-owner-llc-1296-1000021472
Hickory Forest Apartments,Apartments,"3920 Hickory Hill Rd,
Memphis, TN 38115",(901) 365-9741,BBB Rating: C,https://www.bbb.org/us/tn/memphis/profile/apartments/hickory-forest-apartments-0543-31001877
"H.M. Heckle & Company, Inc.","Property Management, Apartments, Real Estate Rentals","5659 Cortez Cove(Hamlets Condos),
Memphis, TN 38115",(901) 761-0655,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/hm-heckle-company-inc-0543-6815
The Crossings at Fox Meadows,Apartments,"2894 Putting Green Cv,
Memphis, TN 38115-2191",(901) 362-7270,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/the-crossings-at-fox-meadows-0543-44034044
The Residences at Lakeview,Apartments,"2774 S Mendenhall Rd,
Memphis, TN 38115-1725",(844) 792-2664,BBB Rating: F,https://www.bbb.org/us/tn/memphis/profile/apartments/the-residences-at-lakeview-0543-44158002
Envolve Communities,"Property Management, Apartments","The Boulevard Apartments 3860 Eaglewood Dr.,
Memphis, TN 38115",(901) 546-9669,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/envolve-communities-0543-11834
Envolve Communities,"Property Management, Apartments","Autumn Ridge 3888 Autumn Ridge Court,
Memphis, TN 38115",(901) 546-0900,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/envolve-communities-0543-11834
Envolve Communities,"Property Management, Apartments","Country Oaks 6555 North Country Oaks Circle,
Memphis, TN 38115",(901) 435-7700,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/envolve-communities-0543-11834
Thirty94 Apartments,Apartments,"3094 Autumnwood Ave.,
Memphis, TN 38115",(901) 795-5833,BBB Rating: F,https://www.bbb.org/us/tn/memphis/profile/apartments/thirty94-apartments-0543-44150742
The Boulevard,Apartments,"3860 Eaglewood Dr,
Memphis, TN 38115",(901) 546-9669,BBB Rating: F,https://www.bbb.org/us/tn/memphis/profile/apartments/the-boulevard-0543-44157564
Arbors of Hickory Ridge,Apartments,"6296 Lake View Trl,
Memphis, TN 38115-3455",(901) 365-4231,BBB Rating: F,https://www.bbb.org/us/tn/memphis/profile/apartments/arbors-of-hickory-ridge-0543-44047049
Cedar Run Apartments,Apartments,"5958 E Point Dr,
Memphis, TN 38115",(901) 365-0421,BBB Rating: A,https://www.bbb.org/us/tn/memphis/profile/apartments/cedar-run-apartments-0543-44153806
The Landing Apartments,Apartments,"6787 S Landing Way,
Memphis, TN 38115-4375",(901) 795-6395,BBB Rating: C,https://www.bbb.org/us/tn/memphis/profile/apartments/the-landing-apartments-0543-44122442
Ridgewyck Apartments,Apartments,"6114 Ridgewyck Dr,
Memphis, TN 38115-3308",(901) 362-1085,BBB Rating: F,https://www.bbb.org/us/tn/memphis/profile/apartments/ridgewyck-apartments-0543-44049932
Country Oaks Apartments,Apartments,"6555 N Country Oaks Cir,
Memphis, TN 38115-5262",(901) 365-7452,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/country-oaks-apartments-0543-44066321
The District,Apartments,"6420 Knight Arnold Road,
Memphis, TN 38115",(904) 570-4359,BBB Rating: A,https://www.bbb.org/us/tn/memphis/profile/apartments/the-district-0543-44156866
The Park at Paisley,Apartments,"3315 Ridgeway Rd,
Memphis, TN 38115-4024",(901) 546-9800,BBB Rating: F,https://www.bbb.org/us/tn/memphis/profile/apartments/the-park-at-paisley-0543-44153486
The Trails at Mt. Moriah,Apartments,"3048 Moriah Trl,
Memphis, TN 38115-0679",(901) 367-0900,BBB Rating: A,https://www.bbb.org/us/tn/memphis/profile/apartments/the-trails-at-mt-moriah-0543-44120390
Emerald Park Apartments,Apartments,"3338 Summer Pl Ln,
Memphis, TN 38115",(901) 365-2750,BBB Rating: D+,https://www.bbb.org/us/tn/memphis/profile/apartments/emerald-park-apartments-0543-44177974
Hickory Farms Apartments,Apartments,"3822 Hickory Farms Dr,
Memphis, TN 38115-6355",,BBB Rating: F,https://www.bbb.org/us/tn/memphis/profile/apartments/hickory-farms-apartments-0543-44038310
The Reserve at Mt. Moriah,Apartments,"2778 Pickering Drive,
Memphis, TN 38115",(844) 872-9851,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/the-reserve-at-mt-moriah-0543-44065527
The Enclave,Apartments,"2940 Hickory Hill RD,
Memphis, TN 38115",(731) 236-8010,BBB Rating: F,https://www.bbb.org/us/tn/memphis/profile/apartments/the-enclave-0543-44074222
"Legacy Property Investors, LLC",Apartments,"6395 Thistlebrook Dr,
Memphis, TN 38115",(901) 480-2309,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/legacy-property-investors-llc-0543-44082364
Providence Place,Apartments,"6420 Knight Arnold Rd,
Memphis, TN 38115",(901) 794-5225,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/providence-place-0543-44018576
Cinnamon Trails,Apartments,"3251 Knight Trails Cir,
Memphis, TN 38115-3799",(901) 362-8775,BBB Rating: NR,https://www.bbb.org/us/tn/memphis/profile/apartments/cinnamon-trails-0543-44016987
The Woods at Ridgeway,Apartments,"6277 Lake Arbor Dr,
Memphis, TN 38115-3483",(901) 367-2788,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/the-woods-at-ridgeway-0543-44046716
Mateo Square Apartments,Apartments,"5111 Ridgeway Blvd,
Memphis, TN 38115",(901) 365-6111,BBB Rating: NR,https://www.bbb.org/us/tn/memphis/profile/apartments/mateo-square-apartments-0543-44075553
The Sunshine Corporation,"Property Management, Apartments","6332 E Village Grove Pl (Ridgeway Terrace),
Memphis, TN 38115",(901) 794-6734,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/the-sunshine-corporation-0543-6721
Stonebrook Apartments,Apartments,"6371 Winchester Rd,
Memphis, TN 38115",(901) 308-2580,BBB Rating: F,https://www.bbb.org/us/tn/memphis/profile/apartments/stonebrook-apartments-0543-44078805
Parc 1346 Apartment Homes - Fogleman,Apartments,"6060 Poplar Ave #200,
Memphis, TN 38119",(423) 402-8160,BBB Rating: C+,https://www.bbb.org/us/tn/chattanooga/profile/apartments/parc-1346-apartment-homes-fogleman-0483-37001047
The Dream Apartments,Apartments,"7885 Silver Spur Cir N,
Memphis, TN 38119-1001",(901) 425-9980,BBB Rating: A,https://www.bbb.org/us/tn/memphis/profile/apartments/the-dream-apartments-0543-44168477
Vantage at Germantown,Apartments,"7885 Silver Spur Cir N,
Memphis, TN 38119-1001",(901) 425-9980,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/vantage-at-germantown-0543-44153266
"H.M. Heckle & Company, Inc.","Property Management, Apartments, Real Estate Rentals","1867 Poplar Ave (Poplar Pines Apartment),
Memphis, TN 38119",(901) 761-0655,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/hm-heckle-company-inc-0543-6815
"H.M. Heckle & Company, Inc.","Property Management, Apartments, Real Estate Rentals","1867 Poplar Pines Dr (Poplar Pines/PPWest Apt),
Memphis, TN 38119",(901) 761-0655,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/hm-heckle-company-inc-0543-6815
"Fogelman Properties, Inc.","Property Management, Apartments, Real Estate Consultant","6060 Poplar Ave Ste 200,
Memphis, TN 38119-3959",(901) 767-6500,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/fogelman-properties-inc-0543-1144
MAA,"Property Management, Apartments, Real Estate Rentals","960 Catbird Ct,
Memphis, TN 38119",(866) 620-1130,BBB Rating: A+,https://www.bbb.org/us/tn/germantown/profile/property-management/maa-0543-31000112
"Heritage Hamilton Apartments, LLC",Apartments,"5350 Poplar Ave,
Memphis, TN 38119-3699",(423) 634-3006,BBB Rating: A+,https://www.bbb.org/us/tn/chattanooga/profile/apartments/heritage-hamilton-apartments-llc-0483-40108152
"Heritage Hamilton Apartments, LLC",Apartments,"6263 Poplar Ave STE 940,
Memphis, TN 38119-4774",(423) 634-3006,BBB Rating: A+,https://www.bbb.org/us/tn/chattanooga/profile/apartments/heritage-hamilton-apartments-llc-0483-40108152
"Maclellan Apartments, LLC",Apartments,"5350 Poplar Ave STE 730,
Memphis, TN 38119-3697",(423) 498-2106,BBB Rating: A+,https://www.bbb.org/us/tn/chattanooga/profile/apartments/maclellan-apartments-llc-0483-40108154
"Maclellan Apartments, LLC",Apartments,"6263 Poplar Ave STE 940,
Memphis, TN 38119-4774",(423) 498-2106,BBB Rating: A+,https://www.bbb.org/us/tn/chattanooga/profile/apartments/maclellan-apartments-llc-0483-40108154
Tree Haven Glenn Apartments,Apartments,"6075 Poplar Ave STE 630,
Memphis, TN 38119-4702",(256) 881-6201,BBB Rating: A+,https://www.bbb.org/us/al/huntsville/profile/apartments/tree-haven-glenn-apartments-0513-900089241
Courts at Waterford Place,Apartments,"5545 Murray Ave 3rd FL,
Memphis, TN 38119",(901) 435-9300,BBB Rating: A-,https://www.bbb.org/us/tn/chattanooga/profile/apartments/courts-at-waterford-place-0483-31000023
Richard & Milton Grant LLC,Apartments,"7542 Legacy Drive,
Memphis, TN 38119",(901) 755-8480,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/richard-milton-grant-llc-0543-44015254
Ridgeway Holdings LLC,Apartments,"6033 Bangalore Ct,
Memphis, TN 38119-7200",(901) 767-1830,BBB Rating: F,https://www.bbb.org/us/tn/memphis/profile/apartments/ridgeway-holdings-llc-0543-44123958
"Apartment Management Group, LLC",Apartments,"5264 Poplar Ave,
Memphis, TN 38119",(901) 761-3333,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/apartment-management-group-llc-0543-44010434
