identifier	adopted	title	url	tags	candidate	vote	kind
409	2011-10-17	An Ordinance Amending Chapter 24, Article X, Relative to Window Tint of Motor Vehicles	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=624		Harvey	aye	County Commission ordinance
408	2011-08-08	An Ordinance Amending Chapter 38, Article II, to Prohibit the impeding of Traffic on Certain Public Rights-of-Way	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=611		Harvey	aye	County Commission ordinance
407	2011-07-25	An Ordinance Amending Section 1-4, to Make it a Violation of the Code to Fail to Pay a Fine Levied by General Sessions Court for Violations of County Ordinances	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=609	Crime & Safety	Harvey	abstained	County Commission ordinance
406	2011-07-11	An Ordinance Amending Chapter 16, to Prohibit the Making or Facilitation of Graffiti and to Restrict the Maintenance of Graffiti on any Publicly or Privately Owned Property	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=603	Crime & Safety	Harvey	aye	County Commission ordinance
405	2011-07-11	An Ordinance Fixing the Tax Rate for the Tax Year 2011	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=603		Harvey	aye	County Commission ordinance
404	2011-06-20	An Ordinance Amending Chapter 30, Adding a New Article Relative to the Shelby County Historical Commission	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=601		Harvey	absent	County Commission ordinance
428	2012-10-22	AN ORDINANCE ADOPTING THE 2009 EDITION OF THE INTERNATIONAL CODE COUNCIL ENERGY CONSERVATION CODE	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=706		Harvey	aye	County Commission ordinance
427	2012-10-22	AN ORDINANCE TO AMEND CHAPTER 2, ARTICLE IV, DIVISION 3, SECTION 2-214, RELATIVE TO THE ACQUISITION AND DISPOSITION OF REAL PROPERTY	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=706		Harvey	aye	County Commission ordinance
426	2012-10-22	AN ORDINANCE TO AMEND CHAPTER 8, ARTICLE IX, RELATIVE TO SECURITY ALARM SERVICES	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=706		Harvey	aye	County Commission ordinance
425	2012-10-08	AN ORDINANCE ADOPTING THE 2012 EDITION OF THE INTERNATIONAL CODE COUNCIL INTERNATIONAL RESIDENTIAL CODE	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=704				County Commission ordinance
424	2012-10-08	AN ORDINANCE AMENDING THE BUILDING CODE, TO ADOPT THE 2012 EDITION OF THE ICC INTERNATIONAL CODE COUNCIL INTERNATIONAL EXISTING BUILDING CODE	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=704				County Commission ordinance
423	2012-10-08	AN ORDINANCE ADOPTING PART OF THE 2009 EDITION AND PART OF THE 2012 EDITION OF THE INTERNATIONAL CODE COUNCIL BUILDING CODE	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=704				County Commission ordinance
422	2012-09-10	AN ORDINANCE AMENDING THE PLUMBING CODE, TO ADOPT THE 2009 EDITION OF THE INTERNATIONAL CODE COUNCIL INTERNATIONAL PLUMBING CODE	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=692		Harvey	absent	County Commission ordinance
421	2012-09-10	AN ORDINANCE TO ADOPT THE 2009 EDITION OF THE INTERNATIONAL CODE COUNCIL MECHANICAL CODE	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=692		Harvey	absent	County Commission ordinance
420	2012-09-10	AN ORDINANCE AMENDING THE FUEL GAS CODE, TO ADOPT THE 2009 EDITION OF THE INTERNATIONAL CODE COUNCIL FUEL GAS CODE AND LOCAL AMENDMENTS	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=692		Harvey	absent	County Commission ordinance
419	2012-09-10	AN ORDINANCE AMENDING THE ELECTRIC CODE TO ENSURE ITS COMPLIANCE WITH STATE REQUIREMENTS AND BY USING THE 2008 EDITION OF THE NATIONAL ELECTRIC CODE AS THE EFFECTIVE MODEL CODE	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=692		Harvey	absent	County Commission ordinance
418	2012-09-10	AN ORDINANCE TO AMEND CHAPTER 14.5, TO SET THE ANNUAL EMISSION FEE FROM NON-MOTOR VEHICLE SOURCES FOR EMISSIONS RELEASED IN CALENDAR YEAR 2011	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=692		Harvey	absent	County Commission ordinance
417	2012-08-27	AN ORDINANCE ADOPTING THE 2009 EDITION OF THE INTERNATIONAL CODE COUNCIL INTERNATIONAL FIRE CODE INCLUDING CERTAIN APPENDICES IN THAT CODE, AND AMENDING CHAPTER 22, ARTICLE II	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=683		Harvey	absent	County Commission ordinance
416	2012-08-27	AN ORDINANCE AMENDING UNIFIED DEVELOPMENT CODE, TO REVISE AND ENHANCE THE JOINT ZONING AND SUBDIVISION REGULATIONS	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=683	Housing	Harvey	absent	County Commission ordinance
415	2012-08-27	AN ORDINANCE AMENDING CHAPTER 16, ARTICLE IV, TO REQUIRE PROPERTY OWNERS TO MAINTAIN PROPERTY BY ELIMINATING AND CONTROLLING HARMFUL VEGETATION AND REMOVING LITTER, DEBRIS AND GARBAGE	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=683	Housing	Harvey	absent	County Commission ordinance
414	2012-08-13	AN ORDINANCE REGARDING RESIDENTIAL CORRIDORS AND CONSTRUCTION OF SIDEWALKS	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=681	Housing	Harvey	absent	County Commission ordinance
413	2012-07-16	AN ORDINANCE LEVYING THE TAX RATE FOR SHELBY COUNTY FOR THE TAX YEAR 2012	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=675		Harvey	absent	County Commission ordinance
412	2012-03-26	AN ORDINANCE REPEALING CHAPTER 32, ARTICLE VIII	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=654		Harvey	aye	County Commission ordinance
411	2012-01-23	An Ordinance Amending Chapter 8, Adding a New Article XVI to Authorize the Permitting and operation of Mobile Food Preparation Vehicles	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=645		Harvey	aye	County Commission ordinance
410	2012-01-09	An Ordinance Amending Chapter 4, Animals, Amending the Definition of Dangerous/Vicious Dog by Adding the Definition of Aggressive, by Requiring the Sterilization of Certain Dangerous/Vicious Dogs	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=641				County Commission ordinance
444	2013-12-16	AN ORDINANCE APPROVING AND SETTING THE SALARY OF THE MAYOR OF SHELBY COUNTY AND THE SHELBY COUNTY SHERIFF FOR THE 2014-2018 TERM OF OFFICE	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=783		Harvey	aye	County Commission ordinance
443	2013-12-16	AN ORDINANCE APPROVING AND SETTING THE SALARY FOR THE MEMBERS OF THE BOARD OF COMMISSIONERS FOR THE 2014-2018 TERM OF OFFICE	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=783		Harvey	aye	County Commission ordinance
442	2013-12-16	AN ORDINANCE AMENDING THE 2012 MEMPHIS AND SHELBY COUNTY JOINT RESIDENTIAL CODE; PROVIDING AN ALTERNATIVE COMPLIANCE METHOD FOR CONSTRUCTION OF DETACHED ONE AND TWO FAMILY DWELLINGS WHEN WOOD FRAMING IS USED TO MEET STRUCTURAL SEISMIC REQUIREMENTS AND SETTING A NEW EFFECTIVE DATE FOR ALL OF THE STRUCTURAL PROVISIONS	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=783	Housing	Harvey	aye	County Commission ordinance
441	2013-11-18	AN ORDINANCE AMENDING PART II, CHAPTER 8, ARTICLE XV, RELATING TO THE PROPER DISPOSAL OF USED TIRES INCLUDING THE REGISTRATION OF VENDORS WHO GENERATE USED TIRES AND TRANSPORTERS OF USED TIRES AND TO MODIFY THE FEE FOR SUCH BUSINESSES	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=778		Harvey	absent	County Commission ordinance
439	2013-09-09	AN ORDINANCE AMENDING CHAPTER 34, BUILDING CODE, MODIFYING APPLICABILITY REQUIREMENTS FOR THE RETROFITTING OF EXISTING COMMERCIAL BUILDINGS UNDERGOING ALTERATIONS OR CHANGES IN OCCUPANCY	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=760		Harvey	aye	County Commission ordinance
438	2013-09-09	AN ORDINANCE AMENDING CHAPTER 34, BUILDING CODE, MODIFYING APPLICABILITY REQUIREMENTS FOR THE RETROFITTING OF EXISTING COMMERCIAL BUILDINGS UNDERGOING ALTERATIONS OR CHANGES IN OCCUPANCY	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=760		Harvey	aye	County Commission ordinance
437	2013-08-19	AN ORDINANCE ADOPTING SUPPLEMENT 1	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=755				County Commission ordinance
436	2013-07-22	AN ORDINANCE FIXING THE TAX RATE FOR SHELBY COUNT FOR THE TAX YEAR 2013	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=748		Harvey	aye	County Commission ordinance
434	2013-06-17	AN ORDINANCE TO ESTABLISH A REVISED EFFECTIVE DATE FOR STRUCTURAL PROVISIONS OF THE MEMPHIS AND SHELBY COUNTY EXISTING BUILDING CODE	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=742		Harvey	aye	County Commission ordinance
433	2013-06-17	AN ORDINANCE TO ESTABLISH A REVISED EFFECTIVE DATE FOR THE STRUCTURAL PROVISIONS OF THE MEMPHIS AND SHELBY COUNTY RESIDENTIAL CODE	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=742		Harvey	aye	County Commission ordinance
432	2013-06-17	AN ORDINANCE TO ESTABLISH A REVISED EFFECTIVE DATE FOR THE STRUCTURAL PROVISIONS OF THE MEMPHIS AND SHELBY COUNTY BUILDING CODE	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=742		Harvey	aye	County Commission ordinance
430	2013-04-01	AN ORDINANCE EXEMPTING CURRENT MEMPHIS CITY SCHOOLS EMPLOYEES FROM THE RESIDENCY PROVISION OF THE SHELBY COUNTY CHARTER	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=726	Public Education	Harvey	absent	County Commission ordinance
453	2014-12-08	AN ORDINANCE AMENDING CHAPTER 18, ARTICLE II, ETHICS	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=885		Turner	aye	County Commission ordinance
452	2014-12-08	AN ORDINANCE AMENDING CHAPTER 2, ARTICLE IV, SECTION 2-230, PREVAILING WAGES AND BENEFITS, REMOVING REQUIREMENTS ON THOSE BIDDING ON OR RECEIVING MAJOR PUBLIC WORKS PROJECTS, OR THEIR SUBCONTRACTORS, THAT THEY PAY A LOCAL PREVAILING WAGE OR A SPECIFIC AMOUNT FOR FRINGE BENEFITS OR REQUIRING THEN TO PROVIDE HEALTH BENEFITS	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=885		Turner	aye	County Commission ordinance
451	2014-08-18	AN ORDINANCE SETTING THE SALARY OF THE CHAIRMAN AND MEMBERS OF THE COUNTY BOARD OF EDUCATION	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=833		Harvey	aye	County Commission ordinance
450	2014-07-21	AN ORDINANCE AMENDING CHAPTER 18, ARTICLE II, CODE OF ETHICS	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=827		Harvey	aye	County Commission ordinance
448	2014-04-28	AN ORDINANCE AMENDING CHAPTER 8, CREATING A NEW ARTICLE XVII, FOOD ESTABLISHMENTS	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=810				County Commission ordinance
446	2014-01-13	AN ORDINANCE APPROVING AND SETTING THE SALARY OF THE SHELBY COUNTY TRUSTEE, SHELBY COUNTY REGISTER, SHELBY COUNTY CLERK AND SHELBY COUNTY ASSESSOR FOR THE 2014-2018 TERM OF OFFICE	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=787		Harvey	aye	County Commission ordinance
445	2014-01-13	AN ORDINANCE AMENDING CHAPTER 4, ANIMALS, ADDING A NEW ARTICLE FOR THE PURPOSE OF IMPROVING THE STANDARD OF CARE FOR COMPANION ANIMALS	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=787		Harvey	aye	County Commission ordinance
462	2015-08-24	A JOINT ORDINANCE AMENDING A PROVISION IN THE LOCAL AMENDMENTS TO THE 2012 EDITION OF THE INTERNATIONAL CODE COUNCIL INTERNATIONAL RESIDENTIAL CODE ALSO REFERRED TO AS THE MEMPHIS AND SHELBY COUNTY RESIDENTIAL CODE, TO ADDRESS WHEN THE USE OF ENGINEERED SHEAR PANELS FOR SEISMIC PROTECTION OF RESIDENTIAL STRUCTURES IS REQUIRED. SPONSORED BY COMMISSIONER TERRY ROLAND	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=991		Turner	aye	County Commission ordinance
461	2015-07-27	AN ORDINANCE APPROVING THE EXECUTION OF AN INTERLOCAL AGREEMENT BETWEEN THE CITY OF MILLINGTON, TENNESSEE, AND SHELBY COUNTY, TENNESSEE, ON BEHALF OF THE MEMPHIS AND SHELBY COUNTY OFFICE OF CONSTRUCTION CODE ENFORCEMENT, AUTHORIZING THE OFFICE OF CONSTRUCTION CODE ENFORCEMENT TO PROVIDE SERVICES FOR THE CITY OF MILLINGTON INCLUDING REVIEWING PERMIT APPLICATIONS AND THE ASSOCIATED PLANS FOR CONSTRUCTION ACTIVITIES, ISSUING PERMITS FOR THE CONSTRUCTION AND ALTERATION OF BUILDINGS AND FOR THE INTERNAL SUPPORT SYSTEMS THEREIN INCLUDING, MECHANICAL, PLUMBING AND ELECTRICAL SYSTEMS, AND CONDUCTING REQUIRED INSPECTIONS AND ENFORCEMENT ACTIVITES TO ASSURE COMPLIANCE OF THOSE ACTIVITIES WITH THE APPLICABLE TECHNICAL CODES. SPONSORED BY COMMISSIONER TERRY ROLAND	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=977	Housing	Turner	absent	County Commission ordinance
460	2015-07-06	AN ORDINANCE FIXING THE TAX RATE FOR SHELBY COUNTY FOR THE TAX YEAR 2015. SPONSORED BY COMMISSIONER HEIDI SHAFER	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=969		Turner	aye	County Commission ordinance
459	2015-04-27	A JOINT ORDINANCE TO AMEND THE PROVISIONS OF THE 2012 JOINT MECHANICAL CODE OF MEMPHIS AND SHELBY COUNTY RELATED TO THE OPERATION AND SAFETY MONITORING OF CERTAIN POWER BOILERS TO MAKE THESE REQUIREMENTS MORE CLOSELY ALIGN WITH STATE OF TENNESSEE REQUIREMENTS FOR THE OPERATION OF SUCH EQUIPMENT SPONSORED BY COMMISSIONER TERRY ROLAND	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=930		Turner	absent	County Commission ordinance
458	2015-02-09	AN ORDINANCE AMENDING ORDINANCE NO. 343, ADOPTED ON AUGUST 27, 2007, ORDINANCE SETTING A TERM LIMIT FOR THE APPOINTMENT OF MEMBERS TO SHELBY COUNTY BOARDS, AUTHORITIES AND COMMISSIONS AND COUNTY APPOINTEES TO JOINT CITY/COUNTY ENTITIES OF TWO CONSECUTIVE TERMS OR TEN CONSECUTIVE YEARS WHICHEVER IS LONGER, TO REQUIRE THAT A MAJORITY VOTE INSTEAD OF A SUPERMAJORITY VOTE IS NEEDED BY THE COMMISSIONERS TO RE-APPOINT MEMBERS WHO SERVE ON JOINT CITY/COUNTY BOARDS AND COMMISSIONS BEYOND THE TERMS OF THIS ORDINANCE	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=902		Turner	aye	County Commission ordinance
457	2015-02-09	ORDINANCE TO AMEND CHAPTER 14.5 TO SET THE ANNUAL EMISSION FEE FOR STATIONARY SOURCES FOR EMISSIONS RELEASED IN CALENDAR YEAR 2013	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=902		Turner	aye	County Commission ordinance
456	2015-02-09	"ORDINANCE AMENDING SECTION 3- 16 ENTITLED ""OPEN BURNING"""	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=902		Turner	aye	County Commission ordinance
472	2016-12-19	AN ORDINANCE TO ESTABLISH THE SHELBY COUNTY MINORITY AND WOMAN BUSINESS ENTERPRISE PROGRAM AND TO AMEND CURRENT SHELBY COUNTY PURCHASING PROCEDURES. SPONSORED BY CHAIRMAN MELVIN BURGESS, COMMISSIONER WALTER L. BAILEY, JR., COMMISSIONER STEVE BASAR, COMMISSIONER MARK BILLINGSLEY, COMMISSIONER WILLIE F. BROOKS, JR., COMMISSIONER JUSTIN J. FORD, COMMISSIONER EDDIE S. JONES, JR., COMMISSIONER REGINALD MIL TON, COMMISSIONER TERRY ROLAND AND COMMISSIONER VAN D. TURNER, JR	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=1246		Turner	aye	County Commission ordinance
471	2016-12-19	AN ORDINANCE AMENDING SHELBY COUNTY GOVERNMENT'S LOCALLY OWNED SMALL BUSINESS ORDINANCE NO. 324, ADOPTED ON MARCH 26, 2007, TO ESTABLISH PROCEDURES TO ENHANCE THE AMOUNT OF LOCALLY OWNED SMALL BUSINESS PARTICIPATION IN THE COUNTY'S PROCUREMENT PROCESS. SPONSORED BY CHAIRMAN MEL VIN BURGESS, COMMISSIONER WALTER L. BAILEY, JR., COMMISSIONER MARK BILLINGSLEY. COMMISSIONER STEVE BASAR, COMMISSIONER WILLIE F. BROOKS, JR., COMMISSIONER JUSTIN J. FORD, COMMISSIONER EDDIE S. JONES, JR., COMMISSIONER REGINALD MIL TON, COMMISSIONER TERRY ROLAND, COMMISSIONER HEIDI SHAFER AND COMMISSIONER VAN D. TURNER, JR	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=1246		Turner	aye	County Commission ordinance
470	2016-12-19	AN ORDINANCE APPROVING THE EXECUTION OF AN INTERLOCAL AGREEMENT BETWEEN THE CITIES OF MILLINGTON, TENNESSEE AND LAKELAND, TENNESSEE AND THE TOWN OF ARLINGTON, TENNESSEE AND SHELBY COUNTY, TENNESSEE, AUTHORIZING THE SHELBY COUNTY FIRE DEPARTMENT TO PROVIDE EMERGENCY AMBULANCE SERVICES IN THESE MUNICIPALITIES. SPONSORED BY COMMISSIONER VAN D. TURNER, JR	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=1246	Crime & Safety	Turner	aye	County Commission ordinance
469	2016-12-05	A JOINT ORDINANCE BY THE BOARD OF COUNTY COMMISISONERS OF SHELBY COUNTY, TENNESSEE AND THE CITY COUNCIL OF THE CITY OF MEMPHIS REQUIRING INDEPENDENT RESIDENTIAL LIVING FACILITIES TO PROVIDE LIFE SAFETY EQUIPMENT IN ALL BUILDINGS. SPONSORED BY COMMISSIONER VAN D. TURNER, JR.	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=1242	Housing	Turner	aye	County Commission ordinance
468	2016-11-14	AN ORDINANCE SETIING THE SALARY OF THE CHAIRMAN AND MEMBERS OF THE SHELBY COUNTY BOARD OF EDUCATION	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=1238		Turner	aye	County Commission ordinance
466	2016-08-29	AN ORDINANCE AMENDING THE SHELBY COUNTY CHARTER TO REQUIRE THE HIRING APPOINTMENT AND DISMISSAL PROCESS FOR THE COUNTY ATTORNEY TO CONSIST OF A RECOMMENDATION FROM THE COUNTY MAYOR WITH THE CONCURRENCE OF A RESOLUTION OF THE BOARD OF COUNTY COMMISSIONERS. SPONSORED BY CHAIRMAN TERRY ROLAND	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=1195		Turner	aye	County Commission ordinance
465	2016-07-27	AN ORDINANCE FIXING THE TAX RATE FOR SHELBY COUNTY FOR THE TAX YEAR 2016. SPONSORED BY COMMISSIONER VAN D. TURNER, JR	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=1184		Turner	aye	County Commission ordinance
481	2017-12-18	AN ORDINANCE APPROVING AND SETTING THE SALARY OF THE MAYOR OF SHELBY COUNTY AND THE SHELBY COUNTY SHERIFF FOR THE 2018-2022 TERM OF OFFICE. SPONSORED BY COMMISSIONER WALTER L. BAILEY, JR., COMMISSIONER STEVE BASAR, COMMISSIONER EDDIE S. JONES, JR., AND COMMISSIONER VAN D. TURNER, JR	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=1382		Turner	aye	County Commission ordinance
477	2017-12-04	AN ORDINANCE BY THE BOARD OF COUNTY COMMISSIONERS OF SHELBY COUNTY, TENNESSEE, TO AMEND CHAPTER 14.5 OF THE CODE OF ORDINANCES OF SHELBY COUNTY, TENNESSEE, TO SET THE ANNUAL EMISSION FEE COLLECTED FROM NON-MOTOR VEHICLE SOURCES FOR EMISSIONS RELEASED IN CALENDAR YEAR 2016 AND TO ADJUST TITLE V (MAJOR SOURCE) PERMIT FEES BEGINNING IN 2017. SPONSORED BY COMMISSIONER REGINALD MIL TON	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=1378		Turner	aye	County Commission ordinance
475	2017-07-19	AN ORDINANCE FIXING THE TAX RATE FOR SHELBY COUNTY AT $4.11 FOR THE TAX YEAR 2017. SPONSORED BY COMMISSIONER STEVE BASAR.	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=1315		Turner	aye	County Commission ordinance
474	2017-06-26	AN ORDINANCE AMENDING ORDINANCE NO. 471, WHICH AMENDED SHELBY COUNTY GOVERNMENT'S LOCALLY OWNED SMALL BUSINESS (LOSB) ORDINANCE, TO AMEND THE COUNTY'S PURCHASING POLICIES AND PROCEDURES TO: (1) RESTORE THE PREFERENCE POINTS FOR LOSBS ON ALL COMPETITIVE LOW BID SOLICITATIONS; (2) CHANGE CERTAIN REFERENCES TO THE OFFICE OF EQUAL OPPORTUNITY COMPLIANCE (EOC) ELIGIBILITY TIME AND (3) DELETE CERTAIN REFERENCES TO CONSTRUCTION PROJECTS. SPONSORED BY COMMISSIONER VAN D. TURNER, JR.	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=1305		Turner	aye	County Commission ordinance
473	2017-06-26	AN ORDINANCE TO AMEND ORDINANCE NO. 472, WHICH ESTABLISHED THE SHELBY COUNTY MINORITY AND WOMAN BUSINESS ENTERPRISE PROGRAM (M/WBE), TO REQUIRE THE BUSINESS OWNER{S) TO PROVIDE PROOF OF SHELBY COUNTY RESIDENCY AS A PREQUALIFICATION FOR THE M/WBE CERTIFICATION AND TO CLARIFY THE APPEALS PROCESS. SPONSORED COMMISSIONER HEIDI SHAFER	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=1305		Turner	aye	County Commission ordinance
500	2018-12-17	ORDINANCE TO AMEND ORDINANCE NO. 472, WHICH ESTABLISHED THE SHELBY COUNTY MINORITY AND WOMAN BUSINESS ENTERPRISE PROGRAM (M/WBE), TO AMEND THE FOLLOWING SECTIONS: (1) DEFINITIONS; (2) RACE AND GENDER-CONSCIOUS REMEDIES SECTION; AND (3) RULES AND REGULATIONS AND CORRESPONDING PURCHASING POLICIES FOR SHELBY COUNTY GOVERNMENT. SPONSORED BY CHAIRMAN VAN D. TURNER, JR.	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=1543		Turner	aye	County Commission ordinance
498	2018-12-03	JOINT ORDINANCE AMENDING THE MEMPHIS AND SHELBY COUNTY FUEL GAS CODE, SO AS TO ADOPT THE 2015 EDITION OF THE INTERNATIONAL CODE COUNCIL INTERNATIONAL FUEL GAS CODE AND LOCAL AMENDMENTS THERETO TO REPLACE AN EARLIER OUTDATED EDITION OF THAT CODE, AND ESTABLISH AN EFFECTIVE DATE THEREFORE. SPONSORED BY COMMISSIONER EDMUND FORD, JR.	https://shelby.granicus.com/MinutesViewer.php?view_id=4&clip_id=1533		Turner	aye	County Commission ordinance
